instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,2.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.132974999723956,0.13064600352663547,0.1731288488372229,0.16339549620170146,0.7995691837513146
2,30,10,11,27.0,True,True,19.0,19.0,0.0,14.0,7.0,6.0,14.0,7.0,6.0,0.4653646501537878,0.4503544914769009,0.6875042017782107,0.680583507346455,0.6617181971288136
3,30,13,8,26.0,True,True,12.0,12.0,0.0,14.0,12.0,0.0,14.0,12.0,0.0,0.39316255060839467,0.3835214956779964,0.7057562506815884,0.7035005037323572,0.545161650408576
4,47,10,8,41.0,True,True,30.0,30.0,0.0,24.0,4.0,13.0,24.0,4.0,13.0,0.5154042002686765,0.5131040015839972,0.8199539486668073,0.8120834900182672,0.6318365142141423
5,28,15,11,25.0,True,True,22.0,22.0,0.0,13.0,2.0,10.0,13.0,2.0,10.0,0.6329145995550789,0.6216249967110343,0.9334833506727591,0.9312710026279092,0.6675017207202849
6,31,11,5,26.0,True,True,10.0,10.0,0.0,16.0,10.0,0.0,16.0,10.0,0.0,0.3707813004439231,0.3636459950939752,0.6876061022921931,0.6713330003549345,0.5416775205475005
7,27,9,8,24.0,True,True,10.0,10.0,0.0,14.0,10.0,0.0,14.0,10.0,0.0,0.35011035070056096,0.3435204998822883,0.47595630021533,0.4677499964600429,0.7344104809878566
8,27,12,8,23.0,True,True,13.0,13.0,0.0,13.0,7.0,3.0,13.0,7.0,3.0,0.5880541481019463,0.5795414908789098,0.8306832496600691,0.8277494998765178,0.7001411549815069
9,37,11,8,32.0,True,True,21.0,21.0,0.0,17.0,9.0,6.0,17.0,9.0,6.0,0.5543687009776477,0.5462709959829226,0.875951999478275,0.8744169972487725,0.6247259576399885
10,24,14,10,22.0,True,True,14.0,14.0,0.0,11.0,8.0,3.0,11.0,8.0,3.0,0.5022811550588813,0.4941460065310821,0.7861106001655571,0.7831249968148768,0.6309925089109286
11,25,9,5,21.0,True,True,9.0,9.0,0.0,12.0,9.0,0.0,12.0,9.0,0.0,0.2397977492364589,0.23808300466043875,0.4037938007968478,0.39479149563703686,0.603060114748083
12,48,10,7,41.0,True,True,18.0,18.0,0.0,23.0,18.0,0.0,23.0,18.0,0.0,0.3520562509947922,0.342791507137008,0.682545849122107,0.6557704909937456,0.5227309124836441
13,58,5,12,18.0,True,True,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.15780620306031778,0.15535450802417472,0.23595000020577572,0.23047900322126225,0.6740505896540726
14,58,13,8,50.0,True,True,34.0,34.0,0.0,26.0,14.0,10.0,26.0,14.0,10.0,0.6389124486304354,0.6286869975156151,1.111956349632237,1.1051879992010072,0.568850727631971
15,29,8,12,26.0,True,True,12.0,12.0,0.0,14.0,12.0,0.0,14.0,12.0,0.0,0.29468955253832974,0.291374497464858,0.5897314003959764,0.5769589988631196,0.5050176841664705
16,38,10,10,32.0,True,True,15.0,15.0,0.0,17.0,15.0,0.0,17.0,15.0,0.0,0.41824579966487363,0.40985400119097903,0.697049951122608,0.6867289994261228,0.5968205821124211
17,35,7,5,32.0,True,True,18.0,18.0,0.0,18.0,10.0,4.0,18.0,10.0,4.0,0.2728166997258086,0.27131249953527004,0.40211460072896443,0.3918750007869676,0.6923444950313681
18,51,12,8,43.0,True,True,28.0,28.0,0.0,23.0,12.0,8.0,23.0,12.0,8.0,0.6104583510023076,0.5970624988549389,0.9055082991835661,0.8997919940156862,0.6635561361135318
19,39,10,9,34.0,True,True,29.0,29.0,0.0,18.0,3.0,13.0,18.0,3.0,13.0,0.5387604993302375,0.5305835002218373,0.8823663993098307,0.8739784971112385,0.6070898791853291
20,56,11,11,50.0,True,True,25.0,25.0,0.0,28.0,19.0,3.0,28.0,19.0,3.0,0.7103541487595066,0.694416492478922,1.067781298479531,1.0636665028869174,0.6528517073671052
21,43,10,7,38.0,True,True,21.0,21.0,0.0,20.0,15.0,3.0,20.0,15.0,3.0,0.40811265280353837,0.4059374987264164,0.5927332502324134,0.5855209965375252,0.6932928129425336
22,39,12,12,33.0,True,True,25.0,25.0,0.0,20.0,1.0,12.0,20.0,1.0,12.0,0.5622189011774026,0.5507499954546802,0.8929998999519739,0.882561995240394,0.6240354767425327
