instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,9,30.0,True,True,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.16145404952112585,0.16066699754446745,0.2849061485903803,0.2735204980126582,0.5874038644702672
2,23,8,9,12.0,True,True,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.15958125222823583,0.15791649639140815,0.27045840106438845,0.2668750021257438,0.5917245719290054
3,51,5,11,26.0,True,True,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.1732978991640266,0.16585399862378836,0.26143524883082137,0.26004150277003646,0.6377981855090981
4,25,8,8,12.0,True,True,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.17183339878101833,0.1576249924255535,0.30304165120469406,0.30193749989848584,0.522045100322247
5,49,10,5,24.0,True,True,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.2100208010233473,0.21183349599596113,0.40639165017637424,0.4014169971924275,0.5277143157304183
6,42,8,9,23.0,True,True,1.0,1.0,0.0,22.0,1.0,0.0,22.0,1.0,0.0,0.2248020020488184,0.22077050380175933,0.4106311498617288,0.40541649650549516,0.5445523448224237
7,55,7,12,28.0,True,True,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.19130630025756545,0.19020849867956713,0.3481498992186971,0.3405210009077564,0.5585808163740615
8,24,11,7,13.0,True,True,3.0,3.0,0.0,11.0,1.0,1.0,11.0,1.0,1.0,0.25474795038462617,0.2501460039638914,0.3759790488402359,0.369020999642089,0.6778638728053589
9,54,5,12,29.0,True,True,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,0.15020190112409182,0.14872899919282645,0.24305820261361077,0.2392290043644607,0.6217013676411942
10,36,10,9,19.0,True,True,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.32649585118633695,0.3195624958607368,0.6342021988530178,0.6281249952735379,0.5087562161438468
11,48,10,8,24.0,True,True,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.28572300070663914,0.2886040019802749,0.5913876018894371,0.5797710036858916,0.49778964478298543
12,58,5,6,30.0,True,True,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.12056900231982581,0.11806300608441234,0.18694359823712148,0.18204149819212034,0.6485499584265819
