instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.12674374993366655,0.1264375023311004,0.19482065035845153,0.18393749996903352,0.6873938286232365
2,30,10,6,22.0,True,True,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.23119984980439767,0.2270205004606396,0.5396437009039801,0.5275625007925555,0.43031963060222705
3,27,15,12,20.0,True,True,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.3814394509390695,0.3773124990402721,0.7626499998877989,0.7587709951621946,0.4972679523149378
4,46,8,5,32.0,True,True,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.22240210018935613,0.22129149874672294,0.4251519992976682,0.4090000038559083,0.5410550040598153
5,35,11,9,24.0,True,True,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.32452710111101624,0.31808299900148995,0.5830146499647526,0.5715830011467915,0.5564948544013842
6,55,5,5,8.0,True,True,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.116081400483381,0.11347899999236688,0.1480772509239614,0.14672950055683032,0.7733891246253846
7,47,14,6,35.0,True,True,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.4452312488865573,0.4385624997667037,0.96458545049245,0.956374999077525,0.45856750771373234
8,60,14,8,43.0,True,True,0.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.5232668499957072,0.5101250026200432,1.4775021001696587,1.4731039991602302,0.34629259231585097
9,41,15,6,31.0,True,True,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.46215000038500875,0.453187501989305,1.0376271995482966,1.0362290013290476,0.4373430017959885
10,58,6,12,31.0,True,True,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.21763949989690445,0.21600000036414713,0.3903750497556757,0.38337500154739246,0.5634170185649036
11,26,8,11,19.0,True,True,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.22094374944572337,0.22022899793228135,0.39156020029622596,0.38818750181235373,0.56732634848903
12,36,15,12,27.0,True,True,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.48219990021607373,0.46787500104983337,1.0911686498729978,1.0852494997379836,0.43112206102172307
13,30,9,8,21.0,True,True,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.21886050089960918,0.21754199769929983,0.48795220063766465,0.4811040016647894,0.45217249689573946
14,26,13,7,19.0,True,True,3.0,3.0,0.0,17.0,1.0,1.0,17.0,1.0,1.0,0.3411395497096237,0.3343959979247302,0.5723563008359633,0.5625630001304671,0.5944151994482014
15,49,9,5,35.0,True,True,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.1989791497180704,0.19341599909239449,0.41487089984002523,0.4076669974892866,0.4744460559319066
16,26,15,8,18.0,True,True,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.44505004916572943,0.44364600034896284,0.8459458993456792,0.8330005002790131,0.5325879158540288
17,21,7,6,15.0,True,True,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.16719365048629697,0.1659164990996942,0.2618833495944273,0.2531670033931732,0.6553638383988876
18,49,13,9,37.0,True,True,1.0,1.0,0.0,36.0,1.0,0.0,36.0,1.0,0.0,0.49552294985915074,0.4828745004488155,1.1416604505939176,1.1368335035513155,0.4247539318118091
19,39,10,11,29.0,True,True,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,0.32958129995677155,0.32231300065177493,0.5831877002492547,0.5777920014224946,0.5578356914914998
20,41,8,10,30.0,True,True,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.19405009916226845,0.192520998098189,0.41512919960950967,0.40295849612448364,0.47776880236994584
21,58,5,9,30.0,True,True,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.12203970072732773,0.12106249778298661,0.1725457994325552,0.170209001225885,0.7112579059336828
22,30,9,8,22.0,True,True,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.2210166996519547,0.21866699898964725,0.4817292501684278,0.4746670019812882,0.4606745319917295
23,53,10,9,37.0,True,True,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.2687311494810274,0.26685399643611163,0.576160499258549,0.5692084996553604,0.4688159024288713
24,21,7,12,16.0,True,True,1.0,1.0,0.0,15.0,1.0,0.0,15.0,1.0,0.0,0.19136674964101985,0.19049999536946416,0.289020650961902,0.27339550069882534,0.6967927229326296
25,55,14,11,40.0,True,True,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.42417284967086744,0.4197919988655485,1.1631291505182162,1.153353998233797,0.36397498036890863
26,43,13,6,32.0,True,True,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.4344665983808227,0.42837500222958624,0.8399834496231051,0.828812499094056,0.5168539358393207
27,50,13,10,38.0,True,True,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.42499574992689304,0.4121454985579476,1.0270521488564555,1.0193959969910793,0.40430362663230496
28,55,9,9,40.0,True,True,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.30456020031124353,0.29925000126240775,0.6463291505497182,0.6394790034391917,0.46795907239019074
29,31,7,8,23.0,True,True,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.1921000497532077,0.19072899885941297,0.3252958496887004,0.314895500196144,0.6056898200851094
30,57,12,5,40.0,True,True,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.39077920046111103,0.38110399691504426,0.8730832007131539,0.8651455027575139,0.4405085568847504
