instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,600,100,200,312,460,True,460,3,139.0,322,137,1,322,137,1,115.30568587328493,1025.2785179764032
2,600,100,200,310,457,True,457,2,115.0,342,115,0,342,115,0,85.1678780071139,704.6356110367924
3,600,100,200,310,448,True,448,2,127.0,321,127,0,321,127,0,84.81024987100061,717.6133370958269
