instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,3000,500,1000,1549,2157,True,2157,2,407.0,1750,407,0,1750,407,0,8.564,5853.745994972996
2,3000,500,1000,1559,2391,True,2391,3,779.0,1652,699,40,1652,699,40,13.229,8738.104837015271
3,3000,500,1000,1545,2323,True,2323,2,601.0,1722,601,0,1722,601,0,8.164000000000001,6071.454305085354
4,3000,500,1000,1539,2253,True,2253,2,481.0,1772,481,0,1772,481,0,7.446,5934.230248909444
5,3000,500,1000,1573,2374,True,2374,2,609.0,1765,609,0,1765,609,0,11.651,6187.920499010943
