Job,Interval,Start,End,Energy,Flow
J10,I112,172.0,173.0,red,1
J40,I15,19.0,21.0,brown,2
J40,I40,58.0,62.0,green,2
J40,I344,661.0,663.0,green,1
J186,I171,284.0,291.0,green,3
J186,I463,909.0,911.0,brown,1
J186,I588,1148.0,1149.0,brown,1
J186,I592,1152.0,1155.0,green,1
J152,I190,321.0,327.0,green,1
J152,I218,393.0,395.0,brown,2
J152,I219,395.0,397.0,green,1
J152,I251,465.0,471.0,green,1
J152,I283,535.0,537.0,green,1
J138,I360,686.0,691.0,green,1
J138,I392,759.0,763.0,green,4
J138,I424,821.0,822.0,brown,1
J197,I286,539.0,541.0,green,1
J197,I350,671.0,672.0,green,1
J197,I358,682.0,683.0,green,1
J197,I382,734.0,735.0,green,1
J197,I478,936.0,938.0,green,1
J21,I13,16.0,18.0,green,2
J21,I174,293.0,295.0,brown,2
J103,I280,528.0,533.0,green,1
J103,I489,954.0,959.0,green,2
J85,I187,310.0,312.0,brown,1
J85,I219,395.0,397.0,green,1
J85,I312,596.0,598.0,green,1
J85,I315,601.0,602.0,red,1
J149,I508,992.0,993.0,green,1
J149,I512,999.0,1003.0,green,1
J149,I524,1035.0,1037.0,brown,2
J191,I240,441.0,442.0,red,1
J191,I565,1104.0,1110.0,green,2
J36,I189,318.0,321.0,green,1
J36,I222,408.0,409.0,green,1
J36,I230,422.0,426.0,green,1
J36,I298,557.0,564.0,green,1
J36,I318,608.0,609.0,brown,1
J36,I326,626.0,632.0,brown,1
J167,I124,195.0,203.0,green,1
J167,I504,987.0,989.0,brown,1
J77,I171,284.0,291.0,green,1
J77,I335,645.0,646.0,brown,1
J181,I528,1041.0,1043.0,brown,2
J181,I584,1139.0,1140.0,brown,1
J181,I616,1190.0,1192.0,green,1
J131,I565,1104.0,1110.0,green,2
J131,I607,1180.0,1181.0,brown,1
J133,I423,815.0,821.0,green,2
J38,I40,58.0,62.0,green,1
J38,I43,64.0,66.0,red,1
J38,I60,92.0,96.0,green,3
J38,I68,111.0,113.0,brown,1
J80,I287,541.0,542.0,green,1
J80,I319,609.0,610.0,brown,1
J80,I512,999.0,1003.0,green,2
J80,I569,1113.0,1114.0,brown,1
J72,I221,400.0,408.0,green,1
J72,I301,567.0,570.0,green,2
J95,I116,180.0,182.0,green,1
J95,I148,245.0,247.0,red,1
J95,I405,781.0,784.0,brown,1
J95,I437,858.0,861.0,green,2
J95,I464,911.0,914.0,brown,1
J172,I205,362.0,366.0,green,1
J172,I430,830.0,835.0,green,3
J51,I124,195.0,203.0,green,2
J51,I199,341.0,348.0,green,4
J8,I9,10.0,11.0,brown,1
J8,I29,39.0,40.0,green,1
