instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,12000,2000,1000,4069,8628,True,8628,2,1763.0,6865,1763,0,6865,1763,0,18.636,56917.64659900218
2,12000,2000,1000,4033,8687,True,8687,2,1788.0,6899,1788,0,6899,1788,0,32.663,56194.21096891165
3,12000,2000,1000,4070,9086,True,9086,3,3073.0,6100,2899,87,6100,2899,87,37.926,84137.64348905534
4,12000,2000,1000,3998,8489,True,8489,2,1487.0,7002,1487,0,7002,1487,0,19.487000000000002,57407.61668700725
5,12000,2000,1000,4057,9482,True,9482,3,3228.0,6505,2726,251,6505,2726,251,39.830999999999996,84088.75583694316
