instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,60,10,3,19,47,True,47,3,15.0,33,13,1,33,13,1,8.89384327264131,726.9087440799922
2,60,10,3,19,47,True,47,3,21.0,30,13,4,30,13,4,8.438844267234181,717.1739370096475
3,60,10,3,18,42,True,42,2,11.0,31,11,0,31,11,0,4.8134379130750915,479.24173809587955
