instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,300,50,50,119,230,True,230,2,57.0,173,57,0,173,57,0,20.294025022774996,521.8979800119996
2,300,50,50,118,231,True,231,3,92.0,152,66,13,152,66,13,27.788687672153145,850.5606120452285
3,300,50,50,118,232,True,232,3,102.0,150,62,20,150,62,20,29.16417901876578,781.2849241308868
