instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,6000,1000,500,2013,4314,True,4314,2,864.0,3450,864,0,3450,864,0,10.196,13797.005200991407
2,6000,1000,500,2071,4324,True,4324,2,1110.0,3214,1110,0,3214,1110,0,13.249,14708.470014040358
3,6000,1000,500,2029,4727,True,4727,3,1633.0,3287,1247,193,3287,1247,193,17.761,21668.13991800882
4,6000,1000,500,2016,4312,True,4312,2,874.0,3438,874,0,3438,874,0,9.852,14545.757977990434
5,6000,1000,500,2050,4654,True,4654,2,1201.0,3453,1201,0,3453,1201,0,18.878,14472.057749982923
