Job,Interval,Start,End,Energy,Flow
J155,I317,875.0,877.0,green,1
J155,I318,877.0,880.0,green,2
J155,I350,989.0,991.0,green,1
J154,I43,71.0,72.0,green,1
J154,I124,260.0,261.0,red,1
J55,I201,485.0,491.0,green,1
J55,I297,805.0,813.0,green,1
J55,I338,946.0,953.0,green,1
J8,I8,12.0,13.0,green,1
J8,I37,59.0,60.0,green,1
J8,I53,88.0,92.0,green,2
J9,I22,33.0,35.0,brown,1
J9,I31,48.0,49.0,green,1
J9,I110,211.0,221.0,green,1
J9,I181,416.0,435.0,green,2
J144,I249,659.0,662.0,brown,3
J144,I281,765.0,767.0,green,1
J109,I136,278.0,290.0,brown,2
J109,I304,836.0,844.0,green,1
J109,I352,996.0,998.0,green,1
J109,I366,1024.0,1028.0,green,1
J127,I199,478.0,479.0,green,1
J127,I200,479.0,485.0,green,3
J127,I228,593.0,597.0,brown,2
J187,I224,579.0,581.0,green,1
J187,I288,780.0,781.0,green,1
J187,I289,781.0,786.0,green,1
J187,I385,1061.0,1063.0,brown,1
J187,I443,1169.0,1172.0,brown,1
J187,I449,1182.0,1183.0,green,1
J3,I9,13.0,14.0,green,1
J3,I19,26.0,29.0,brown,1
J3,I71,124.0,127.0,brown,1
J3,I103,200.0,201.0,red,1
J17,I61,103.0,106.0,brown,2
J17,I349,988.0,989.0,green,1
J17,I454,1189.0,1190.0,green,1
J123,I181,416.0,435.0,green,2
J123,I223,560.0,579.0,green,2
J86,I213,529.0,542.0,green,2
J86,I244,646.0,647.0,green,1
J86,I276,743.0,745.0,green,1
J86,I372,1037.0,1038.0,brown,1
J189,I146,312.0,315.0,brown,1
J189,I402,1095.0,1097.0,green,1
J189,I442,1167.0,1169.0,brown,1
J189,I459,1194.0,1195.0,green,1
J132,I136,278.0,290.0,brown,2
J132,I145,310.0,312.0,brown,1
J132,I165,359.0,361.0,green,1
J146,I242,635.0,645.0,green,2
J146,I292,789.0,793.0,green,1
J81,I186,446.0,447.0,green,1
J81,I218,548.0,549.0,green,1
J18,I58,99.0,100.0,green,1
J18,I61,103.0,106.0,brown,1
J18,I67,114.0,117.0,brown,1
J18,I69,120.0,121.0,brown,1
J18,I71,124.0,127.0,brown,1
J48,I65,111.0,113.0,green,1
J48,I78,136.0,146.0,green,1
J48,I157,341.0,342.0,green,1
J137,I277,745.0,747.0,brown,1
J137,I301,826.0,829.0,green,1
J137,I302,829.0,835.0,green,1
J137,I337,944.0,946.0,green,1
J137,I348,985.0,988.0,green,1
J112,I196,471.0,475.0,brown,3
J112,I242,635.0,645.0,green,1
J112,I260,690.0,697.0,brown,2
J118,I301,826.0,829.0,green,1
J118,I316,864.0,875.0,green,1
J118,I381,1055.0,1056.0,brown,1
J28,I109,207.0,211.0,green,2
J28,I115,233.0,236.0,green,2
J19,I46,74.0,75.0,brown,1
J19,I62,106.0,108.0,brown,1
J19,I134,273.0,276.0,brown,1
J19,I326,906.0,912.0,green,1
J182,I118,245.0,247.0,brown,2
J182,I150,326.0,328.0,brown,2
J182,I278,747.0,755.0,brown,1
J182,I376,1044.0,1046.0,red,1
J120,I336,942.0,944.0,green,1
J120,I352,996.0,998.0,green,1
J120,I369,1034.0,1035.0,green,1
J159,I266,716.0,724.0,green,1
J159,I283,768.0,773.0,green,1
J159,I299,821.0,823.0,green,1
J159,I311,855.0,859.0,brown,1
J159,I343,965.0,978.0,green,1
J100,I171,383.0,389.0,green,1
J100,I172,389.0,397.0,green,1
J100,I179,410.0,415.0,green,1
J100,I251,663.0,666.0,green,1
J100,I299,821.0,823.0,green,1
J100,I300,823.0,826.0,green,1
J150,I370,1035.0,1036.0,green,1
J150,I384,1059.0,1061.0,brown,1
J150,I394,1082.0,1084.0,green,1
J150,I402,1095.0,1097.0,green,1
J105,I242,635.0,645.0,green,3
J105,I289,781.0,786.0,green,2
J147,I245,647.0,653.0,green,1
J147,I293,793.0,798.0,brown,1
J147,I308,850.0,853.0,red,1
J147,I341,960.0,963.0,green,1
J49,I49,78.0,82.0,green,2
J49,I304,836.0,844.0,green,1
J49,I368,1029.0,1034.0,green,1
J49,I393,1077.0,1082.0,green,2
J185,I284,773.0,777.0,green,1
J185,I315,863.0,864.0,brown,1
J185,I316,864.0,875.0,green,1
J185,I383,1058.0,1059.0,brown,1
J185,I428,1137.0,1139.0,brown,2
J170,I248,658.0,659.0,brown,1
J170,I280,762.0,765.0,green,1
J170,I376,1044.0,1046.0,red,1
J170,I384,1059.0,1061.0,brown,1
J121,I343,965.0,978.0,green,1
J121,I366,1024.0,1028.0,green,1
J121,I382,1056.0,1058.0,brown,1
J121,I426,1133.0,1136.0,brown,3
J13,I149,318.0,326.0,brown,5
J13,I181,416.0,435.0,green,1
J103,I181,416.0,435.0,green,5
J133,I266,716.0,724.0,green,1
J133,I314,861.0,863.0,brown,1
J168,I261,697.0,703.0,green,1
J168,I284,773.0,777.0,green,1
J168,I316,864.0,875.0,green,1
J168,I317,875.0,877.0,green,1
J168,I325,899.0,906.0,green,1
J168,I412,1114.0,1116.0,green,1
J30,I68,117.0,120.0,brown,1
J30,I76,133.0,134.0,brown,1
J30,I109,207.0,211.0,green,1
J99,I213,529.0,542.0,green,2
J99,I445,1175.0,1176.0,brown,1
J87,I5,5.0,7.0,green,2
J87,I325,899.0,906.0,green,1
J87,I460,1195.0,1196.0,green,1
J96,I183,436.0,437.0,green,1
J96,I231,607.0,610.0,green,1
J188,I138,295.0,299.0,green,2
J188,I266,716.0,724.0,green,2
J188,I297,805.0,813.0,green,1
J188,I410,1111.0,1113.0,green,1
J140,I322,888.0,891.0,brown,3
J140,I333,937.0,938.0,red,1
J42,I115,233.0,236.0,green,1
J42,I136,278.0,290.0,brown,1
J42,I139,299.0,301.0,green,2
J42,I171,383.0,389.0,green,1
J42,I179,410.0,415.0,green,1
J75,I168,370.0,373.0,red,1
J75,I184,437.0,441.0,green,2
J76,I217,547.0,548.0,green,1
J195,I417,1120.0,1121.0,red,1
J195,I425,1131.0,1133.0,brown,1
J195,I432,1145.0,1151.0,green,1
J195,I433,1151.0,1152.0,red,1
J195,I438,1159.0,1160.0,green,1
J145,I220,551.0,553.0,green,1
J145,I253,668.0,676.0,green,3
J145,I329,917.0,919.0,green,1
J148,I213,529.0,542.0,green,2
J148,I277,745.0,747.0,brown,1
J148,I342,963.0,965.0,green,1
J148,I368,1029.0,1034.0,green,2
J160,I326,906.0,912.0,green,1
J160,I356,1006.0,1008.0,brown,1
J160,I360,1014.0,1015.0,brown,1
J160,I390,1069.0,1073.0,red,1
J160,I406,1102.0,1103.0,green,1
J160,I409,1107.0,1111.0,green,1
J15,I77,134.0,136.0,green,1
J15,I101,197.0,199.0,green,1
J15,I185,441.0,446.0,green,1
J15,I226,583.0,586.0,brown,1
J15,I260,690.0,697.0,brown,2
J66,I77,134.0,136.0,green,1
J66,I181,416.0,435.0,green,1
J66,I316,864.0,875.0,green,4
J192,I291,788.0,789.0,green,1
J192,I292,789.0,793.0,green,1
J192,I324,895.0,899.0,green,2
J4,I7,9.0,12.0,green,2
J4,I25,37.0,38.0,brown,1
J4,I49,78.0,82.0,green,1
J101,I224,579.0,581.0,green,1
J101,I232,610.0,611.0,green,1
J101,I243,645.0,646.0,green,1
J101,I275,741.0,743.0,brown,2
J101,I280,762.0,765.0,green,1
J181,I59,100.0,102.0,green,1
J181,I325,899.0,906.0,green,3
J181,I410,1111.0,1113.0,green,1
J156,I174,400.0,401.0,green,1
J156,I223,560.0,579.0,green,1
J156,I382,1056.0,1058.0,brown,1
J156,I400,1091.0,1093.0,green,1
J69,I260,690.0,697.0,brown,1
J69,I290,786.0,788.0,green,1
J69,I343,965.0,978.0,green,1
J69,I400,1091.0,1093.0,green,1
J7,I6,7.0,9.0,green,2
J7,I38,60.0,61.0,green,1
J7,I166,361.0,368.0,green,1
J7,I230,599.0,607.0,green,1
J7,I348,985.0,988.0,green,1
J196,I311,855.0,859.0,brown,1
J196,I439,1160.0,1163.0,green,1
J196,I443,1169.0,1172.0,brown,1
J196,I464,1199.0,1200.0,brown,1
J129,I253,668.0,676.0,green,3
J129,I284,773.0,777.0,green,1
J129,I391,1073.0,1076.0,green,2
J6,I19,26.0,29.0,brown,1
J6,I112,222.0,225.0,green,1
J6,I242,635.0,645.0,green,2
J59,I51,85.0,87.0,green,2
J59,I179,410.0,415.0,green,2
J59,I211,525.0,527.0,brown,2
J98,I88,164.0,170.0,brown,2
J98,I102,199.0,200.0,green,1
J98,I166,361.0,368.0,green,1
J98,I245,647.0,653.0,green,2
J114,I279,755.0,762.0,green,2
J114,I302,829.0,835.0,green,1
J114,I306,845.0,846.0,brown,1
J104,I231,607.0,610.0,green,1
J79,I223,560.0,579.0,green,3
J79,I234,614.0,617.0,brown,3
J200,I223,560.0,579.0,green,1
J200,I318,877.0,880.0,green,1
J200,I319,880.0,882.0,green,1
J200,I351,991.0,996.0,green,1
J200,I461,1196.0,1197.0,green,1
J200,I463,1198.0,1199.0,green,1
J171,I351,991.0,996.0,green,2
J171,I358,1010.0,1012.0,brown,2
J56,I156,337.0,341.0,green,2
J27,I81,148.0,151.0,green,1
J27,I82,151.0,154.0,green,1
J169,I405,1100.0,1102.0,green,1
J169,I420,1124.0,1126.0,brown,2
J169,I424,1130.0,1131.0,brown,1
J94,I101,197.0,199.0,green,1
J94,I136,278.0,290.0,brown,2
J138,I242,635.0,645.0,green,1
J138,I250,662.0,663.0,brown,1
J138,I266,716.0,724.0,green,1
J138,I346,982.0,984.0,green,1
J12,I99,195.0,196.0,green,1
J12,I110,211.0,221.0,green,3
J184,I338,946.0,953.0,green,1
J184,I386,1063.0,1064.0,brown,1
J184,I451,1184.0,1185.0,green,1
J178,I229,597.0,599.0,brown,1
J178,I230,599.0,607.0,green,2
J178,I261,697.0,703.0,green,2
J178,I278,747.0,755.0,brown,1
J161,I316,864.0,875.0,green,3
J161,I347,984.0,985.0,green,1
