instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.1244291001057718,0.12474999675760046,0.18425615271553397,0.17212500097230077,0.7247639567344192
2,30,10,6,22.0,True,True,2.0,2.0,0.0,20.0,2.0,0.0,20.0,2.0,0.0,0.2409810505923815,0.23177050024969503,0.5099874528241344,0.49541650514584035,0.46782958953187603
3,27,15,12,20.0,True,True,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.46873544924892485,0.4602919943863526,0.7761207496514544,0.7706875039730221,0.5972485501756171
4,46,8,5,32.0,True,True,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.2633646516187582,0.2623545005917549,0.4019438005343545,0.38981249963399023,0.6730274191773982
5,58,6,8,27.0,True,True,1.0,1.0,0.0,26.0,1.0,0.0,26.0,1.0,0.0,0.1552438028738834,0.15472900122404099,0.2306687500094995,0.22072899446357042,0.7009908308605909
6,55,11,10,38.0,True,True,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.4327646514866501,0.4290415017749183,0.8215771027607843,0.8128330009640194,0.5278347474402187
7,46,10,5,33.0,True,True,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.27987275025225244,0.276916500297375,0.5805999498988967,0.5743954970967025,0.4821007506100883
8,55,12,5,39.0,True,True,9.0,9.0,0.0,34.0,1.0,4.0,34.0,1.0,4.0,0.3695187493576668,0.3588330000638962,0.744925002072705,0.7382295007118955,0.48607242018622043
9,36,6,6,26.0,True,True,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.17086040024878457,0.17010400188155472,0.29499155207304284,0.2852295074262656,0.5963758918790271
10,43,15,9,31.0,True,True,2.0,2.0,0.0,29.0,2.0,0.0,29.0,2.0,0.0,0.5990021018078551,0.5933124994044192,1.2250582505657803,1.2205830062157474,0.48608943134797883
11,38,8,7,28.0,True,True,1.0,1.0,0.0,27.0,1.0,0.0,27.0,1.0,0.0,0.2889124480134342,0.2883749984903261,0.5242375991656445,0.5178334977244958,0.5568874932918128
12,49,6,6,36.0,True,True,6.0,6.0,0.0,30.0,6.0,0.0,30.0,6.0,0.0,0.1488186520873569,0.1474585005780682,0.27240824929322116,0.26570849877316505,0.5549634327050762
13,55,5,11,19.0,True,True,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.14120200139586814,0.1396040024701506,0.21073550087749027,0.20239550212863833,0.6897584234921447
14,44,11,6,33.0,True,True,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.3080626003793441,0.3008130079251714,0.6249270016269293,0.6158955002319999,0.4884156611176068
15,49,9,5,35.0,True,True,1.0,1.0,0.0,34.0,1.0,0.0,34.0,1.0,0.0,0.21921659863437526,0.21787500008940697,0.4068123518663924,0.3980210021836683,0.5473957376472001
16,26,15,8,18.0,True,True,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.4330125986598432,0.42360450606793165,0.8235877008701209,0.8121255013975315,0.5215998085751272
17,28,13,10,21.0,True,True,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.3882685996359214,0.38070800655987114,0.7255999989865813,0.7225415029097348,0.5269012299317455
18,24,6,8,17.0,True,True,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.2268541014927905,0.22597900533583015,0.35399365006014705,0.3428959971643053,0.6590307475288139
19,60,5,6,7.0,True,True,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.1151247983216308,0.11266650108154863,0.21145004939171486,0.16141700325533748,0.697984095909197
20,38,6,10,28.0,True,True,2.0,2.0,0.0,26.0,2.0,0.0,26.0,2.0,0.0,0.2280709013575688,0.22854151029605418,0.29701864914386533,0.2748335027717985,0.8315635029613482
21,40,14,9,29.0,True,True,1.0,1.0,0.0,28.0,1.0,0.0,28.0,1.0,0.0,0.4850584999076091,0.476417008030694,0.9001937505672686,0.8940835105022416,0.5328551555134621
