instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,6000,1000,100,1729,4314,True,4314,2,864.0,3450,864,0,3450,864,0,9.914,11924.181611044332
2,6000,1000,100,1749,4394,True,4394,2,968.0,3426,968,0,3426,968,0,10.1,11809.995122021064
3,6000,1000,100,1735,4489,True,4489,2,1207.0,3282,1207,0,3282,1207,0,12.074000000000002,12029.585062991828
4,6000,1000,100,1739,4694,True,4694,3,1743.0,3176,1293,225,3176,1293,225,18.326,18493.783410987817
5,6000,1000,100,1745,4678,True,4678,3,1630.0,3129,1468,81,3129,1468,81,15.2,18476.48749104701
