from,to,flow,capacity
0,1,4,6
0,2,2,5
0,3,5,6
0,4,0,2
0,5,6,6
0,6,4,4
0,7,6,6
0,8,4,6
0,9,6,6
0,10,5,6
1,12,0,1
1,13,0,1
1,14,0,1
1,15,0,3
1,16,0,7
1,17,0,4
1,18,4,4
2,20,0,1
2,21,0,5
2,22,0,11
2,23,0,2
2,24,0,2
2,25,0,4
2,26,0,8
2,27,0,1
2,28,2,2
2,29,0,1
3,11,0,1
3,12,0,1
3,13,0,1
3,14,0,1
3,15,0,3
3,16,0,7
3,17,0,4
3,18,0,4
3,19,0,1
3,20,0,1
3,21,1,5
3,22,4,11
3,23,0,2
4,21,0,5
4,22,0,11
4,23,0,2
4,24,0,2
4,25,0,4
5,22,6,11
5,23,0,2
5,24,0,2
5,25,0,4
5,26,0,8
5,27,0,1
6,17,0,4
6,18,0,4
6,19,0,1
6,20,0,1
6,21,4,5
6,22,0,11
7,20,1,1
7,21,0,5
7,22,1,11
7,23,0,2
7,24,0,2
7,25,0,4
7,26,4,8
8,14,0,1
8,15,0,3
8,16,0,7
8,17,0,4
8,18,0,4
8,19,0,1
8,20,0,1
8,21,0,5
8,22,0,11
8,23,0,2
8,24,0,2
8,25,0,4
8,26,4,8
8,27,0,1
8,28,0,2
9,13,0,1
9,14,0,1
9,15,0,3
9,16,0,7
9,17,0,4
9,18,0,4
9,19,0,1
9,20,0,1
9,21,0,5
9,22,0,11
9,23,0,2
9,24,0,2
9,25,4,4
9,26,0,8
9,27,1,1
9,28,0,2
9,29,1,1
10,16,0,7
10,17,0,4
10,18,0,4
10,19,1,1
10,20,0,1
10,21,0,5
10,22,0,11
10,23,2,2
10,24,2,2
18,30,4,4
19,30,1,1
20,30,1,1
21,30,5,5
22,30,11,11
23,30,2,2
24,30,2,2
25,30,4,4
26,30,8,8
27,30,1,1
28,30,2,2
29,30,1,1
