instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,120,20,20,48,94,True,94,2,22.0,72,22,0,72,22,0,6.875794658064871,491.6148018091917
2,120,20,20,49,89,True,89,2,21.0,68,21,0,68,21,0,7.124091102734209,496.5558259282261
3,120,20,20,49,95,True,95,2,23.0,72,23,0,72,23,0,7.7848640234619015,492.1440628822893
