instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,12000,2000,500,3716,8628,True,8628,2,1764.0,6864,1764,0,6864,1764,0,29385.18771072571,53646.24904305674
2,12000,2000,500,3678,8919,True,8919,2,2741.0,6178,2741,0,6178,2741,0,29402.491205138638,53856.71373992227
3,12000,2000,500,3649,9419,True,9419,2,2276.0,7143,2276,0,7143,2276,0,30185.381388990656,54200.099376030266
