instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.1271168490347918,0.1254579983651638,0.18831469933502376,0.18291649757884443,0.6858757959275178
2,30,10,11,29.0,True,True,5.0,5.0,0.0,26.0,1.0,2.0,26.0,1.0,2.0,0.43280414975015447,0.4247290053172037,0.6088603484386113,0.6067295034881681,0.7000302488594679
3,51,5,12,8.0,True,True,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.15318519945139997,0.15216649626381695,0.2145270504115615,0.20972900529159233,0.7255386352128808
4,48,13,5,46.0,True,True,5.0,5.0,0.0,41.0,5.0,0.0,41.0,5.0,0.0,0.38503749819938093,0.3799584956141189,0.7413583523884881,0.7287709959200583,0.5213688493933943
5,24,8,6,24.0,True,True,8.0,8.0,0.0,19.0,2.0,3.0,19.0,2.0,3.0,0.3541124999173917,0.3463754983386025,0.45134579922887497,0.439958501374349,0.787291295103037
6,42,8,11,42.0,True,True,7.0,7.0,0.0,36.0,5.0,1.0,36.0,5.0,1.0,0.38777290246798657,0.36004200956085697,0.5335729991202243,0.5278124954202212,0.6821399885090013
7,44,15,12,44.0,True,True,9.0,9.0,0.0,37.0,5.0,2.0,37.0,5.0,2.0,0.8679687991389073,0.8620415028417483,1.2887333512480836,1.27983299898915,0.6735578028716358
8,33,6,5,32.0,True,True,6.0,6.0,0.0,27.0,4.0,1.0,27.0,4.0,1.0,0.2536313477321528,0.2538960034144111,0.3574146503524389,0.3457709972281009,0.7342894732345611
9,36,6,6,35.0,True,True,7.0,7.0,0.0,31.0,1.0,3.0,31.0,1.0,3.0,0.20376875108922832,0.19904100918211043,0.24516884877812117,0.24356249923584983,0.8172071226341469
10,60,12,8,58.0,True,True,10.0,10.0,0.0,49.0,8.0,1.0,49.0,8.0,1.0,0.5840479512698948,0.5731459968956187,0.9827374000451529,0.9744164999574423,0.588194059645594
11,23,13,6,23.0,True,True,8.0,8.0,0.0,18.0,2.0,3.0,18.0,2.0,3.0,0.4262687994923908,0.41622899880167097,0.4756312497192994,0.4612914999597706,0.9023123097606838
12,48,14,6,47.0,True,True,10.0,10.0,0.0,39.0,6.0,2.0,39.0,6.0,2.0,0.6583062509889714,0.6359374965541065,1.0686793517379556,1.0670624978956766,0.5959702433627089
13,27,11,7,26.0,True,True,5.0,5.0,0.0,22.0,3.0,1.0,22.0,3.0,1.0,0.34301245032111183,0.3319790048408322,0.5219832994043827,0.5157289997441694,0.6437082363130878
14,49,10,6,47.0,True,True,5.0,5.0,0.0,42.0,5.0,0.0,42.0,5.0,0.0,0.41299160147900693,0.4060835053678602,0.674804300069809,0.6674584947177209,0.6084026326454944
15,49,9,8,49.0,True,True,9.0,9.0,0.0,42.0,5.0,2.0,42.0,5.0,2.0,0.4962936531228479,0.48985450848704204,0.7225064997328445,0.6989789981162176,0.7008143446472981
16,50,5,5,24.0,True,True,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.11492089834064245,0.10962549276882783,0.15611464987159707,0.15429199993377551,0.7105066550169857
17,34,10,7,32.0,True,True,8.0,8.0,0.0,27.0,2.0,3.0,27.0,2.0,3.0,0.40869775039027445,0.40295799408340827,0.6111686998337973,0.6002704976708628,0.6712940176919308
18,55,8,6,35.0,True,True,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.1703062494925689,0.16547950508538634,0.31512904970441014,0.3076249995501712,0.5379260636403445
19,40,14,11,40.0,True,True,13.0,13.0,0.0,33.0,1.0,6.0,33.0,1.0,6.0,0.8807644982880447,0.8654794946778566,1.3047269509115722,1.301999502175022,0.6647310488460648
20,29,8,10,28.0,True,True,4.0,4.0,0.0,25.0,2.0,1.0,25.0,2.0,1.0,0.36485194868873805,0.3551665067789145,0.5225708002399188,0.51543751033023,0.6890583235810035
21,24,10,7,23.0,True,True,5.0,5.0,0.0,20.0,1.0,2.0,20.0,1.0,2.0,0.4381208498671185,0.4297920022509061,0.56612500193296,0.55860399879748,0.7694037335502958
22,48,8,6,48.0,True,True,15.0,15.0,0.0,38.0,5.0,5.0,38.0,5.0,5.0,0.44075399928260595,0.42768749699462205,0.542848049371969,0.5375829932745546,0.7955748272270833
23,35,11,7,35.0,True,True,13.0,13.0,0.0,28.0,1.0,6.0,28.0,1.0,6.0,0.4332792006607633,0.42364549881312996,0.5807060988445301,0.569271003769245,0.7441894914866513
24,32,9,5,31.0,True,True,5.0,5.0,0.0,26.0,5.0,0.0,26.0,5.0,0.0,0.3411291509110015,0.334249998559244,0.5319041018083226,0.5237710065557621,0.6381605594345909
25,56,5,10,24.0,True,True,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.15628324981662445,0.15581199841108173,0.26714800187619403,0.2583130044513382,0.6031906862065634
26,52,5,6,8.0,True,True,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.13057295000180602,0.12983299529878423,0.16721875144867226,0.16500000492669642,0.7868666146795836
27,45,7,11,30.0,True,True,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.17879785082186572,0.17602099978830665,0.30455190208158456,0.2994165042764507,0.587880084344939
28,50,13,11,49.0,True,True,13.0,13.0,0.0,41.0,3.0,5.0,41.0,3.0,5.0,0.6809166508901399,0.6742499972460791,1.197924851294374,1.1919375028810464,0.565675629482537
29,56,15,12,56.0,True,True,14.0,14.0,0.0,48.0,2.0,6.0,48.0,2.0,6.0,0.8736146504816134,0.8615830010967329,1.3301375518494751,1.3264380031614564,0.6495463783781981
30,35,12,6,34.0,True,True,6.0,6.0,0.0,30.0,2.0,2.0,30.0,2.0,2.0,0.48420204911963083,0.476333501865156,0.7282353995833546,0.7179995009209961,0.6634175946559169
