instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,600,100,50,207,460,True,460,3,139.0,322,137,1,322,137,1,8.033999999999999,899.5919760782272
2,600,100,50,196,480,True,480,3,188.0,311,150,19,311,150,19,7.783,858.094786060974
3,600,100,50,204,422,True,422,2,108.0,314,108,0,314,108,0,4.489,572.0381520222872
4,600,100,50,203,452,True,452,2,111.0,341,111,0,341,111,0,4.432,597.3058540839702
5,600,100,50,198,437,True,437,2,99.0,338,99,0,338,99,0,4.599,626.074704923667
