instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,120,20,5,35,94,True,94,2,22.0,72,22,0,72,22,0,5.406000000000001,486.03117500897497
2,120,20,5,35,89,True,89,3,29.0,64,21,4,64,21,4,4.656,721.3826150400564
3,120,20,5,38,86,True,86,2,21.0,65,21,0,65,21,0,4.156,486.58437898848206
4,120,20,5,38,91,True,91,3,34.0,60,28,3,60,28,3,7.495,722.7690980071202
5,120,20,5,33,96,True,96,3,44.0,62,24,10,62,24,10,7.3,726.2959089130163
