Job,Interval,Start,End,Energy,Flow
J51,I18,32.0,34.0,green,1
J51,I24,58.0,59.0,green,1
J51,I41,111.0,115.0,red,2
J15,I43,116.0,127.0,red,2
J15,I44,127.0,128.0,green,1
J15,I52,158.0,163.0,green,1
J15,I60,182.0,184.0,green,1
J15,I76,245.0,247.0,green,1
J71,I103,336.0,339.0,brown,3
J71,I119,385.0,390.0,brown,3
J42,I18,32.0,34.0,green,1
J42,I48,141.0,149.0,red,1
J42,I64,198.0,204.0,green,3
J85,I121,392.0,402.0,brown,1
J85,I180,578.0,583.0,green,2
J40,I20,39.0,47.0,green,2
J40,I21,47.0,49.0,green,1
J40,I100,326.0,331.0,brown,1
J40,I116,374.0,377.0,brown,2
J12,I9,13.0,16.0,green,2
J12,I22,49.0,55.0,green,2
J12,I37,94.0,95.0,red,1
J16,I53,163.0,168.0,green,1
J16,I121,392.0,402.0,brown,1
J16,I143,460.0,463.0,brown,1
J16,I149,479.0,480.0,red,1
J37,I81,253.0,258.0,green,3
J37,I97,316.0,324.0,brown,3
J3,I11,17.0,18.0,green,1
J3,I13,19.0,20.0,green,1
J3,I17,27.0,32.0,green,2
J41,I56,170.0,173.0,green,1
J41,I96,315.0,316.0,brown,1
J41,I98,324.0,325.0,brown,1
J41,I100,326.0,331.0,brown,1
J28,I58,174.0,181.0,green,1
J28,I93,298.0,308.0,brown,1
J60,I61,184.0,194.0,green,5
J60,I121,392.0,402.0,brown,1
J36,I60,182.0,184.0,green,1
J36,I68,215.0,220.0,green,2
J9,I8,11.0,13.0,green,1
J9,I73,229.0,234.0,green,5
J25,I45,128.0,138.0,green,4
J25,I49,149.0,153.0,green,1
J18,I66,208.0,214.0,green,2
J18,I99,325.0,326.0,brown,1
J18,I139,446.0,453.0,brown,2
J24,I120,390.0,392.0,brown,2
J24,I152,485.0,488.0,green,1
J24,I157,499.0,500.0,green,1
J24,I160,511.0,517.0,green,1
J17,I53,163.0,168.0,green,3
J64,I70,222.0,225.0,green,1
J64,I102,334.0,336.0,brown,2
J49,I119,385.0,390.0,brown,2
J49,I151,482.0,485.0,red,2
J96,I124,408.0,411.0,brown,2
J96,I158,500.0,504.0,green,2
J96,I172,554.0,559.0,green,1
J61,I83,259.0,270.0,green,2
J61,I86,274.0,275.0,brown,1
J61,I114,367.0,369.0,brown,2
J57,I90,292.0,294.0,green,1
J57,I126,412.0,415.0,green,2
J57,I128,417.0,420.0,green,1
J84,I162,519.0,527.0,green,2
J84,I163,527.0,536.0,green,3
J84,I165,538.0,541.0,green,1
J1,I1,1.0,3.0,green,2
J1,I9,13.0,16.0,green,1
J1,I93,298.0,308.0,brown,1
J4,I5,7.0,9.0,green,1
J59,I77,247.0,248.0,green,1
J59,I93,298.0,308.0,brown,2
J59,I117,377.0,382.0,brown,3
J63,I49,149.0,153.0,green,3
J63,I61,184.0,194.0,green,3
J91,I160,511.0,517.0,green,2
J91,I178,573.0,577.0,green,1
J91,I179,577.0,578.0,green,1
J81,I126,412.0,415.0,green,1
J81,I140,453.0,458.0,brown,2
J92,I61,184.0,194.0,green,1
J92,I108,348.0,355.0,red,1
J92,I156,498.0,499.0,brown,1
J92,I177,569.0,573.0,green,2
J92,I182,588.0,591.0,green,1
J21,I4,6.0,7.0,green,1
J21,I6,9.0,10.0,green,1
J21,I20,39.0,47.0,green,2
J21,I52,158.0,163.0,green,2
J35,I97,316.0,324.0,brown,3
J68,I76,245.0,247.0,green,1
J68,I140,453.0,458.0,brown,3
J76,I162,519.0,527.0,green,1
J76,I164,536.0,538.0,green,1
J39,I75,239.0,245.0,green,2
J39,I91,294.0,297.0,brown,1
J39,I107,346.0,348.0,red,1
J39,I139,446.0,453.0,brown,1
J39,I172,554.0,559.0,green,1
J93,I17,27.0,32.0,green,2
J93,I160,511.0,517.0,green,1
J93,I176,568.0,569.0,green,1
J93,I178,573.0,577.0,green,1
J93,I182,588.0,591.0,green,1
J53,I22,49.0,55.0,green,1
J90,I74,234.0,239.0,green,1
J90,I106,345.0,346.0,red,1
J90,I138,443.0,446.0,brown,2
J90,I170,549.0,552.0,green,1
J90,I190,599.0,600.0,green,1
J86,I154,491.0,495.0,brown,4
J86,I162,519.0,527.0,green,2
J97,I175,562.0,568.0,green,5
J97,I177,569.0,573.0,green,1
J80,I166,541.0,543.0,green,1
J20,I41,111.0,115.0,red,1
J20,I45,128.0,138.0,green,2
J20,I53,163.0,168.0,green,1
J20,I85,271.0,274.0,brown,1
J55,I64,198.0,204.0,green,2
J55,I80,252.0,253.0,green,1
J55,I97,316.0,324.0,brown,2
J55,I113,365.0,367.0,red,1
J74,I5,7.0,9.0,green,1
J74,I65,204.0,208.0,green,2
J74,I161,517.0,519.0,green,1
J74,I162,519.0,527.0,green,1
J74,I169,546.0,549.0,green,1
J88,I159,504.0,511.0,green,6
J8,I19,34.0,39.0,green,4
J8,I22,49.0,55.0,green,1
J8,I23,55.0,58.0,green,1
J78,I100,326.0,331.0,brown,1
J78,I116,374.0,377.0,brown,1
J78,I128,417.0,420.0,green,2
J78,I139,446.0,453.0,brown,1
J27,I45,128.0,138.0,green,1
J27,I50,153.0,154.0,green,1
J27,I74,234.0,239.0,green,2
J19,I8,11.0,13.0,green,1
J19,I21,47.0,49.0,green,1
J19,I23,55.0,58.0,green,2
J7,I34,83.0,88.0,red,1
J7,I51,154.0,158.0,green,1
J7,I67,214.0,215.0,green,1
J31,I58,174.0,181.0,green,4
J31,I121,392.0,402.0,brown,2
J72,I87,275.0,284.0,green,2
J72,I89,286.0,292.0,green,3
J72,I121,392.0,402.0,brown,1
J23,I16,22.0,27.0,green,1
J23,I28,69.0,70.0,red,1
J23,I45,128.0,138.0,green,3
J100,I143,460.0,463.0,brown,2
J100,I167,543.0,544.0,green,1
J100,I184,592.0,593.0,green,1
J33,I78,248.0,251.0,green,1
J33,I94,308.0,310.0,brown,2
J33,I174,560.0,562.0,green,2
J33,I180,578.0,583.0,green,1
J45,I57,173.0,174.0,green,1
J45,I78,248.0,251.0,green,1
J38,I20,39.0,47.0,green,2
J38,I35,88.0,90.0,red,1
J38,I51,154.0,158.0,green,3
J44,I121,392.0,402.0,brown,2
J44,I138,443.0,446.0,brown,1
J50,I82,258.0,259.0,green,1
J50,I93,298.0,308.0,brown,5
J30,I56,170.0,173.0,green,2
J30,I72,227.0,229.0,green,2
J30,I74,234.0,239.0,green,2
J26,I59,181.0,182.0,green,1
J26,I91,294.0,297.0,brown,1
J26,I127,415.0,417.0,green,1
J26,I160,511.0,517.0,green,1
J48,I168,544.0,546.0,green,2
J48,I172,554.0,559.0,green,1
J99,I165,538.0,541.0,green,2
J99,I177,569.0,573.0,green,1
J99,I178,573.0,577.0,green,1
J99,I183,591.0,592.0,green,1
J99,I185,593.0,594.0,green,1
J87,I78,248.0,251.0,green,1
J87,I158,500.0,504.0,green,1
J87,I159,504.0,511.0,green,1
J67,I20,39.0,47.0,green,2
J66,I172,554.0,559.0,green,2
J66,I181,583.0,588.0,green,3
J66,I187,595.0,596.0,green,1
J29,I52,158.0,163.0,green,2
J29,I63,197.0,198.0,green,1
J29,I66,208.0,214.0,green,2
J29,I83,259.0,270.0,green,1
J34,I83,259.0,270.0,green,4
J34,I87,275.0,284.0,green,1
J34,I93,298.0,308.0,brown,1
J13,I46,138.0,140.0,green,2
J13,I95,310.0,315.0,brown,1
J2,I7,10.0,11.0,green,1
J2,I10,16.0,17.0,green,1
J2,I14,20.0,21.0,green,1
J2,I22,49.0,55.0,green,2
J83,I55,169.0,170.0,green,1
J83,I117,377.0,382.0,brown,1
J83,I152,485.0,488.0,green,2
J83,I164,536.0,538.0,green,1
J56,I71,225.0,227.0,green,1
J56,I87,275.0,284.0,green,1
J56,I115,369.0,374.0,brown,3
J43,I2,3.0,4.0,green,1
J43,I3,4.0,6.0,green,2
J43,I34,83.0,88.0,red,1
J43,I66,208.0,214.0,green,1
J43,I122,402.0,405.0,brown,1
J95,I182,588.0,591.0,green,1
J95,I186,594.0,595.0,green,1
J95,I188,596.0,597.0,green,1
J95,I189,597.0,599.0,green,2
J73,I91,294.0,297.0,brown,1
J73,I123,405.0,408.0,brown,3
J73,I155,495.0,498.0,brown,2
J6,I12,18.0,19.0,green,1
J6,I15,21.0,22.0,green,1
J6,I19,34.0,39.0,green,1
J79,I66,208.0,214.0,green,1
J79,I81,253.0,258.0,green,2
J79,I161,517.0,519.0,green,1
J79,I170,549.0,552.0,green,1
J22,I38,95.0,101.0,red,1
J22,I54,168.0,169.0,green,1
J22,I70,222.0,225.0,green,2
J46,I42,115.0,116.0,red,1
J46,I58,174.0,181.0,green,2
J46,I61,184.0,194.0,green,1
J46,I75,239.0,245.0,green,2
J32,I87,275.0,284.0,green,5
J32,I118,382.0,385.0,brown,1
J14,I62,194.0,197.0,green,3
