instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,12000,2000,500,3716,8628,True,8628,2,1764.0,6864,1764,0,6864,1764,0,16.471,50653.718679910526
2,12000,2000,500,3678,8919,True,8919,2,2741.0,6178,2741,0,6178,2741,0,29.781000000000002,51166.752474033274
3,12000,2000,500,3649,9419,True,9419,2,2276.0,7143,2276,0,7143,2276,0,19.862,51606.02029110305
4,12000,2000,500,3721,9129,True,9129,2,2031.0,7098,2031,0,7098,2031,0,19.064999999999998,53465.60677199159
5,12000,2000,500,3691,9184,True,9184,2,2461.0,6723,2461,0,6723,2461,0,18.883,51309.75711205974
