Job,Interval,Start,End,Energy,Flow
J151,I297,935.0,947.0,green,1
J151,I301,951.0,960.0,green,1
J105,I126,321.0,339.0,green,5
J188,I276,854.0,857.0,green,1
J188,I312,985.0,993.0,green,4
J188,I344,1079.0,1085.0,green,1
J130,I280,864.0,880.0,green,4
J130,I296,933.0,935.0,green,2
J135,I52,106.0,109.0,green,3
J165,I203,588.0,595.0,green,3
J103,I175,484.0,491.0,green,1
J103,I183,517.0,518.0,green,1
J103,I199,576.0,578.0,green,2
J103,I215,657.0,659.0,green,2
J80,I210,630.0,633.0,brown,1
J80,I275,845.0,854.0,green,5
J89,I101,222.0,236.0,green,2
J89,I213,649.0,651.0,green,2
J181,I259,787.0,788.0,green,1
J181,I323,1025.0,1028.0,brown,1
J181,I355,1115.0,1118.0,green,2
J47,I10,18.0,20.0,green,1
J47,I65,134.0,140.0,brown,2
J87,I178,494.0,503.0,green,4
J43,I193,555.0,560.0,green,3
J43,I214,651.0,657.0,green,3
J152,I225,694.0,706.0,green,5
J194,I175,484.0,491.0,green,1
J194,I230,714.0,718.0,brown,1
J194,I295,922.0,933.0,green,4
J111,I254,778.0,783.0,green,1
J141,I220,670.0,676.0,green,3
J12,I46,93.0,99.0,green,5
J153,I134,363.0,364.0,green,1
J153,I198,575.0,576.0,green,1
J153,I262,800.0,805.0,green,1
J186,I275,845.0,854.0,green,2
J70,I59,121.0,122.0,green,1
J70,I155,419.0,429.0,brown,1
J70,I283,886.0,890.0,green,2
J54,I108,250.0,252.0,green,2
J54,I140,378.0,381.0,green,3
J21,I65,134.0,140.0,brown,1
J21,I354,1111.0,1115.0,green,1
J154,I234,725.0,729.0,brown,1
J154,I322,1023.0,1025.0,brown,2
J183,I280,864.0,880.0,green,1
J183,I312,985.0,993.0,green,2
J183,I360,1125.0,1128.0,green,3
J67,I58,120.0,121.0,green,1
J67,I90,198.0,200.0,green,2
J67,I155,419.0,429.0,brown,2
J24,I43,87.0,90.0,green,3
J24,I139,375.0,378.0,green,2
J24,I342,1076.0,1078.0,green,1
J29,I32,54.0,57.0,brown,2
J195,I354,1111.0,1115.0,green,3
J41,I3,5.0,6.0,green,1
J41,I11,20.0,21.0,green,1
J41,I36,64.0,67.0,brown,1
J41,I115,275.0,279.0,green,1
J127,I204,595.0,602.0,green,6
J101,I178,494.0,503.0,green,2
J101,I209,627.0,630.0,brown,2
J101,I242,750.0,752.0,green,2
J10,I91,200.0,206.0,green,4
J167,I193,555.0,560.0,green,2
J167,I297,935.0,947.0,green,3
J71,I342,1076.0,1078.0,green,1
J71,I373,1157.0,1159.0,brown,1
J163,I61,123.0,128.0,green,3
J163,I353,1108.0,1111.0,green,3
J102,I230,714.0,718.0,brown,1
J102,I295,922.0,933.0,green,2
J102,I310,982.0,983.0,brown,1
J102,I313,993.0,1001.0,green,2
J63,I211,633.0,642.0,brown,1
J63,I244,759.0,760.0,green,1
J63,I276,854.0,857.0,green,1
J63,I280,864.0,880.0,green,1
J63,I340,1073.0,1075.0,green,1
J63,I344,1079.0,1085.0,green,1
J39,I79,169.0,174.0,green,2
J39,I101,222.0,236.0,green,1
J39,I111,266.0,271.0,green,2
J39,I130,347.0,350.0,brown,1
J129,I268,826.0,834.0,green,3
J129,I316,1003.0,1008.0,green,1
J108,I192,547.0,555.0,green,2
J108,I206,622.0,623.0,green,1
J108,I224,684.0,694.0,green,1
J79,I166,448.0,451.0,brown,2
J79,I191,543.0,547.0,green,4
J171,I205,602.0,622.0,green,5
J160,I219,667.0,670.0,green,1
J160,I299,948.0,950.0,green,2
J160,I301,951.0,960.0,green,1
J193,I176,491.0,493.0,green,1
J193,I224,684.0,694.0,green,2
J193,I288,898.0,904.0,green,1
J77,I126,321.0,339.0,green,1
J149,I268,826.0,834.0,green,1
J149,I304,964.0,965.0,green,1
J149,I332,1049.0,1050.0,brown,1
J149,I358,1120.0,1123.0,green,1
J119,I207,623.0,626.0,brown,3
J119,I239,741.0,743.0,brown,1
J125,I176,491.0,493.0,green,1
J6,I167,451.0,457.0,brown,3
J6,I280,864.0,880.0,green,1
J143,I138,372.0,375.0,green,3
J128,I209,627.0,630.0,brown,1
J128,I218,664.0,667.0,green,2
J128,I233,723.0,725.0,brown,1
J128,I254,778.0,783.0,green,1
J91,I202,586.0,588.0,green,2
J91,I234,725.0,729.0,brown,1
J91,I266,821.0,823.0,green,2
J120,I179,503.0,504.0,green,1
J120,I243,752.0,759.0,green,3
J120,I283,886.0,890.0,green,1
J85,I80,174.0,176.0,green,1
J85,I239,741.0,743.0,brown,1
J85,I272,839.0,841.0,green,1
J2,I197,571.0,575.0,green,1
J2,I225,694.0,706.0,green,2
J66,I4,6.0,8.0,green,1
J66,I35,60.0,64.0,brown,1
J66,I292,911.0,914.0,green,3
J185,I208,626.0,627.0,brown,1
J185,I240,743.0,746.0,brown,3
J185,I338,1061.0,1068.0,green,1
J34,I6,9.0,11.0,green,2
J34,I126,321.0,339.0,green,1
J34,I182,508.0,517.0,green,3
J68,I281,880.0,883.0,green,1
J68,I346,1087.0,1096.0,green,5
J72,I168,457.0,458.0,brown,1
J72,I177,493.0,494.0,green,1
J72,I181,507.0,508.0,green,1
J72,I185,519.0,522.0,green,3
J110,I305,965.0,971.0,green,3
J110,I314,1001.0,1002.0,green,1
J11,I4,6.0,8.0,green,1
J11,I9,13.0,18.0,green,3
J11,I31,53.0,54.0,brown,1
J11,I159,436.0,438.0,brown,1
J97,I306,971.0,975.0,green,4
J97,I338,1061.0,1068.0,green,2
J31,I49,102.0,103.0,green,1
J31,I57,118.0,120.0,green,2
J31,I122,299.0,311.0,brown,3
J132,I279,861.0,864.0,green,2
J132,I295,922.0,933.0,green,3
J132,I326,1030.0,1033.0,brown,1
J45,I63,129.0,131.0,brown,2
J48,I290,907.0,909.0,green,1
J20,I86,190.0,194.0,green,1
J20,I165,447.0,448.0,brown,1
J20,I182,508.0,517.0,green,4
J46,I41,78.0,82.0,green,4
J46,I81,176.0,182.0,green,1
J115,I7,11.0,12.0,green,1
J178,I261,797.0,800.0,green,1
J178,I301,951.0,960.0,green,1
J50,I111,266.0,271.0,green,3
J50,I158,434.0,436.0,brown,2
J50,I175,484.0,491.0,green,1
J51,I38,70.0,74.0,green,4
J140,I262,800.0,805.0,green,2
J140,I294,918.0,922.0,green,1
J95,I51,105.0,106.0,green,1
J95,I115,275.0,279.0,green,3
J95,I195,562.0,563.0,green,1
J95,I214,651.0,657.0,green,1
J169,I60,122.0,123.0,green,1
J169,I124,313.0,316.0,green,3
J114,I212,642.0,649.0,brown,1
J114,I223,680.0,684.0,green,2
J187,I338,1061.0,1068.0,green,1
J187,I344,1079.0,1085.0,green,2
J187,I352,1106.0,1108.0,green,1
J187,I371,1151.0,1156.0,brown,1
J182,I229,710.0,714.0,brown,1
J182,I278,860.0,861.0,green,1
J182,I294,918.0,922.0,green,2
J182,I358,1120.0,1123.0,green,1
J196,I229,710.0,714.0,brown,3
J196,I262,800.0,805.0,green,1
J196,I294,918.0,922.0,green,1
J190,I220,670.0,676.0,green,2
J190,I316,1003.0,1008.0,green,1
J190,I382,1170.0,1174.0,green,2
J190,I384,1176.0,1177.0,green,1
J142,I218,664.0,667.0,green,1
J142,I233,723.0,725.0,brown,1
J142,I282,883.0,886.0,green,1
J142,I298,947.0,948.0,green,1
J81,I232,721.0,723.0,brown,1
J81,I289,904.0,907.0,green,2
J107,I297,935.0,947.0,green,5
J107,I338,1061.0,1068.0,green,1
J168,I316,1003.0,1008.0,green,2
J168,I331,1048.0,1049.0,brown,1
J200,I308,977.0,980.0,green,3
J200,I340,1073.0,1075.0,green,1
J13,I32,54.0,57.0,brown,1
J13,I64,131.0,134.0,brown,2
J184,I205,602.0,622.0,green,2
J184,I293,914.0,918.0,green,1
J131,I122,299.0,311.0,brown,1
J131,I219,667.0,670.0,green,2
J131,I307,975.0,977.0,green,1
J61,I42,82.0,87.0,green,4
J100,I48,101.0,102.0,green,1
J100,I192,547.0,555.0,green,2
J170,I293,914.0,918.0,green,3
J170,I301,951.0,960.0,green,1
J170,I313,993.0,1001.0,green,1
J170,I358,1120.0,1123.0,green,1
J166,I120,290.0,293.0,brown,1
J58,I101,222.0,236.0,green,1
J58,I160,438.0,442.0,brown,2
J58,I225,694.0,706.0,green,2
J58,I257,785.0,786.0,green,1
J144,I271,836.0,839.0,green,3
J144,I285,891.0,895.0,brown,1
J144,I303,962.0,964.0,green,1
J158,I305,965.0,971.0,green,1
J158,I338,1061.0,1068.0,green,1
J158,I345,1085.0,1087.0,green,2
J27,I2,4.0,5.0,green,1
J27,I37,67.0,70.0,green,1
J27,I110,260.0,266.0,green,1
J27,I114,274.0,275.0,green,1
J27,I178,494.0,503.0,green,2
J116,I265,817.0,821.0,green,4
J92,I178,494.0,503.0,green,1
J92,I254,778.0,783.0,green,1
J92,I262,800.0,805.0,green,1
J9,I50,103.0,105.0,green,2
J9,I126,321.0,339.0,green,1
J139,I155,419.0,429.0,brown,2
J53,I125,316.0,321.0,green,4
J53,I141,381.0,382.0,green,1
J76,I119,285.0,290.0,green,1
J76,I127,339.0,343.0,green,2
J76,I135,364.0,366.0,green,1
J177,I338,1061.0,1068.0,green,1
J177,I347,1096.0,1099.0,green,3
J16,I73,160.0,162.0,brown,2
J16,I169,458.0,467.0,brown,4
J191,I204,595.0,602.0,green,1
J191,I316,1003.0,1008.0,green,1
J191,I348,1099.0,1100.0,green,1
J65,I101,222.0,236.0,green,2
J65,I121,293.0,299.0,brown,4
J175,I79,169.0,174.0,green,1
J175,I175,484.0,491.0,green,2
J175,I303,962.0,964.0,green,1
J198,I326,1030.0,1033.0,brown,1
J198,I343,1078.0,1079.0,green,1
J198,I346,1087.0,1096.0,green,2
J198,I355,1115.0,1118.0,green,1
J198,I383,1174.0,1176.0,green,1
J42,I81,176.0,182.0,green,1
J42,I101,222.0,236.0,green,4
J69,I109,252.0,260.0,green,4
J69,I197,571.0,575.0,green,1
J52,I62,128.0,129.0,brown,1
J52,I127,339.0,343.0,green,2
J52,I222,679.0,680.0,brown,1
J52,I223,680.0,684.0,green,2
J15,I55,115.0,116.0,green,1
J15,I87,194.0,195.0,green,1
J15,I119,285.0,290.0,green,4
J172,I297,935.0,947.0,green,1
J172,I359,1123.0,1125.0,green,2
J14,I47,99.0,101.0,green,2
J38,I103,237.0,240.0,green,2
J98,I186,522.0,532.0,green,1
J98,I214,651.0,657.0,green,1
J7,I113,273.0,274.0,green,1
J7,I225,694.0,706.0,green,3
J28,I39,74.0,76.0,green,2
J28,I110,260.0,266.0,green,2
J28,I129,346.0,347.0,green,1
J134,I232,721.0,723.0,brown,1
J134,I281,880.0,883.0,green,2
J134,I313,993.0,1001.0,green,3
J4,I33,57.0,58.0,brown,1
J4,I258,786.0,787.0,green,1
J4,I274,843.0,845.0,green,2
J109,I169,458.0,467.0,brown,1
J109,I186,522.0,532.0,green,1
J109,I194,560.0,562.0,green,2
J109,I290,907.0,909.0,green,1
J74,I120,290.0,293.0,brown,1
J74,I205,602.0,622.0,green,1
J74,I267,823.0,826.0,green,1
J74,I282,883.0,886.0,green,2
J137,I78,168.0,169.0,green,1
J137,I302,960.0,962.0,green,2
J192,I243,752.0,759.0,green,1
J192,I291,909.0,911.0,green,2
J192,I352,1106.0,1108.0,green,1
