instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,1200,200,100,405,921,True,921,3,385.0,603,251,67,603,251,67,301.5061602544189,1479.7119041904807
2,1200,200,100,409,932,True,932,2,279.0,653,279,0,653,279,0,204.40481820681688,960.6890298891813
3,1200,200,100,402,841,True,841,2,152.0,689,152,0,689,152,0,206.99788594555858,931.7831539083272
