file,instance_id,folder,num_jobs,num_intervals,density,cpu_wall_seconds,gpu_maxflow_seconds,gpu_wall_seconds
jobs_100_intervals_25_light/instance_0003.json,3,jobs_100_intervals_25_light,100,25,light,0.026670787017792463,0.05101604812622074,0.6245867880061269
jobs_100_intervals_50_medium/instance_0001.json,1,jobs_100_intervals_50_medium,100,50,medium,0.04135209598462097,0.0809898209247143,0.8990506390109658
jobs_100_intervals_50_medium/instance_0002.json,2,jobs_100_intervals_50_medium,100,50,medium,0.040045772009762004,0.07231391635979723,0.8882451739627868
jobs_100_intervals_50_medium/instance_0003.json,3,jobs_100_intervals_50_medium,100,50,medium,0.032136569992871955,0.04884004627817862,0.5843853910919279
jobs_10_intervals_10_dense/instance_0001.json,1,jobs_10_intervals_10_dense,10,10,dense,0.0006984260107856244,0.008922444586902945,0.7289633918553591
jobs_10_intervals_10_dense/instance_0002.json,2,jobs_10_intervals_10_dense,10,10,dense,0.0006841150170657784,0.005689409008637014,0.7279553750995547
jobs_10_intervals_10_dense/instance_0003.json,3,jobs_10_intervals_10_dense,10,10,dense,0.0006704760016873479,0.005175230953559262,0.49117602594196796
jobs_10_intervals_20_very_dense/instance_0001.json,1,jobs_10_intervals_20_very_dense,10,20,very_dense,0.0010054470039904118,0.006319996598213917,0.5011193789541721
jobs_10_intervals_20_very_dense/instance_0002.json,2,jobs_10_intervals_20_very_dense,10,20,very_dense,0.000987905979854986,0.005454166122630277,0.48650495195761323
jobs_10_intervals_20_very_dense/instance_0003.json,3,jobs_10_intervals_20_very_dense,10,20,very_dense,0.0009307590080425143,0.005522367013320317,0.48137444094754755
jobs_10_intervals_3_light/instance_0001.json,1,jobs_10_intervals_3_light,10,3,light,0.0006372909992933273,0.00889384327264131,0.7269087440799922
jobs_10_intervals_3_light/instance_0002.json,2,jobs_10_intervals_3_light,10,3,light,0.0005581739824265242,0.00843884426723418,0.7171739370096475
jobs_10_intervals_3_light/instance_0003.json,3,jobs_10_intervals_3_light,10,3,light,0.00042125798063352704,0.0048134379130750915,0.47924173809587955
jobs_10_intervals_3_sparse/instance_0001.json,1,jobs_10_intervals_3_sparse,10,3,sparse,0.0006252710008993745,0.009611966496571811,0.9205463689286262
jobs_10_intervals_3_sparse/instance_0002.json,2,jobs_10_intervals_3_sparse,10,3,sparse,0.0005480909894686192,0.00857903507618607,0.7363496390171349
jobs_10_intervals_3_sparse/instance_0003.json,3,jobs_10_intervals_3_sparse,10,3,sparse,0.0004276710096746683,0.005435843162268417,0.4889150098897517
jobs_10_intervals_5_medium/instance_0001.json,1,jobs_10_intervals_5_medium,10,5,medium,0.0005660579772666097,0.008493434860452953,0.7171488900203258
jobs_10_intervals_5_medium/instance_0002.json,2,jobs_10_intervals_5_medium,10,5,medium,0.0006072929827496409,0.008714589715674514,0.7220295139122754
jobs_10_intervals_5_medium/instance_0003.json,3,jobs_10_intervals_5_medium,10,5,medium,0.0005707090022042394,0.008506527623996174,0.7264652180019766
jobs_2000_intervals_1000_medium/instance_0001.json,1,jobs_2000_intervals_1000_medium,2000,1000,medium,21.71045634098118,35.62026914403382,62.501952211139724
