instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,30000,5000,500,8677,23619,True,23619,2,6436.0,17183,6436,0,17183,6436,0,184966.90260992604,326465.4343680013
2,30000,5000,500,8731,22529,True,22529,2,4988.0,17541,4988,0,17541,4988,0,182853.60753989063,323627.5604069233
3,30000,5000,500,8668,21397,True,21397,2,5533.0,15864,5533,0,15864,5533,0,183014.2365810613,327287.0148711372
