instance_id,horizon,num_jobs,num_original_energy_intervals,num_split_intervals,total_processing,feasible,final_flow,final_pass,normalized_cost,green_units,brown_units,red_units,pass1_added_flow,pass2_added_flow,pass3_added_flow,gpu_maxflow_ms,wall_ms
1,12000,2000,2000,4773,8628,True,8628,2,1763.0,6865,1763,0,6865,1763,0,38383.74712231124,70056.85384199023
2,12000,2000,2000,4763,8733,True,8733,2,2698.0,6035,2698,0,6035,2698,0,39968.41853909202,71229.67728204094
3,12000,2000,2000,4785,8527,True,8527,2,1675.0,6852,1675,0,6852,1675,0,41272.31000085047,73941.81743287481
