instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,2.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.1338957983534783,0.13170799866202287,0.17261475004488602,0.16656249863444827,0.7907422123336422
2,30,10,6,21.0,True,True,6.0,6.0,0.0,15.0,6.0,0.0,15.0,6.0,0.0,0.2978937489388045,0.291145497612888,0.5296209001244279,0.5223959997238126,0.5573271957802409
3,55,5,10,26.0,True,True,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.1737540507747326,0.1726040027278941,0.2711249500862323,0.26624950260156766,0.6482791556091262
4,35,12,12,24.0,True,True,6.0,6.0,0.0,19.0,4.0,1.0,19.0,4.0,1.0,0.47561675019096583,0.470958500955021,0.8148751006956445,0.8080420011538081,0.5828391349490949
5,36,8,5,25.0,True,True,5.0,5.0,0.0,20.0,5.0,0.0,20.0,5.0,0.0,0.2014668491028715,0.19979199714725837,0.36649990070145577,0.36106249899603426,0.5533446361856947
6,27,6,11,18.0,True,True,4.0,4.0,0.0,14.0,4.0,0.0,14.0,4.0,0.0,0.25158735079457983,0.2502290008123964,0.33946039948205,0.3352289968461264,0.7464419938805417
7,58,11,5,40.0,True,True,7.0,7.0,0.0,33.0,7.0,0.0,33.0,7.0,0.0,0.35037925008509774,0.34760449852910824,0.720081249892246,0.7173960038926452,0.48453642986994605
8,51,11,12,34.0,True,True,6.0,6.0,0.0,28.0,6.0,0.0,28.0,6.0,0.0,0.4735123995487811,0.4684999985329341,1.0004540996305877,0.9975624961953145,0.46964475942087314
9,25,15,11,17.0,True,True,4.0,4.0,0.0,14.0,2.0,1.0,14.0,2.0,1.0,0.627964500017697,0.6037704952177592,0.8306104009534465,0.805645999207627,0.7494240594648053
10,53,15,12,36.0,True,True,5.0,5.0,0.0,31.0,5.0,0.0,31.0,5.0,0.0,0.5460124000819633,0.5225414970482234,1.055829201141023,1.0209165011474397,0.5118356853483343
